"","Code_postal","REGION","CP"
"189",2190,"Picardie",2
"190",2110,"Picardie",2
"191",2370,"Picardie",2
"192",2370,"Picardie",2
"193",2190,"Picardie",2
"194",2600,"Picardie",2
"195",2800,"Picardie",2
"196",2320,"Picardie",2
"197",2840,"Picardie",2
"198",2820,"Picardie",2
"199",2300,"Picardie",2
"200",2120,"Picardie",2
"201",33550,"Aquitaine",33
"202",33690,"Aquitaine",33
"203",33690,"Aquitaine",33
"204",33580,"Aquitaine",33
"205",33240,"Aquitaine",33
"206",33240,"Aquitaine",33
"207",33210,"Aquitaine",33
"208",33210,"Aquitaine",33
"209",33420,"Aquitaine",33
"210",33190,"Aquitaine",33
"211",33126,"Aquitaine",33
"212",33660,"Aquitaine",33
"213",33820,"Aquitaine",33
"214",33430,"Aquitaine",33
"215",33180,"Aquitaine",33
"216",33190,"Aquitaine",33
"217",33540,"Aquitaine",33
"218",33760,"Aquitaine",33
"219",33330,"Aquitaine",33
"220",33440,"Aquitaine",33
"221",33125,"Aquitaine",33
"222",33490,"Aquitaine",33
"223",33540,"Aquitaine",33
"224",33580,"Aquitaine",33
"225",33690,"Aquitaine",33
"226",33590,"Aquitaine",33
"227",33710,"Aquitaine",33
"228",33680,"Aquitaine",33
"229",33730,"Aquitaine",33
"230",33330,"Aquitaine",33
"231",33141,"Aquitaine",33
"232",33240,"Aquitaine",33
"233",34300,"Languedoc",34
"234",34190,"Languedoc",34
"235",34210,"Languedoc",34
"236",34210,"Languedoc",34
"237",34540,"Languedoc",34
"238",34600,"Languedoc",34
"239",34700,"Languedoc",34
"240",34190,"Languedoc",34
"241",34480,"Languedoc",34
"242",34330,"Languedoc",34
"243",34260,"Languedoc",34
"244",34600,"Languedoc",34
"245",34610,"Languedoc",34
"246",34170,"Languedoc",34
"247",34210,"Languedoc",34
"248",34380,"Languedoc",34
"249",34600,"Languedoc",34
"250",34520,"Languedoc",34
"251",34270,"Languedoc",34
"252",34120,"Languedoc",34
"253",34420,"Languedoc",34
"254",34800,"Languedoc",34
"255",34800,"Languedoc",34
"256",34440,"Languedoc",34
"257",34660,"Languedoc",34
"258",34210,"Languedoc",34
"259",34270,"Languedoc",34
"260",34700,"Languedoc",34
"261",34320,"Languedoc",34
"262",34260,"Languedoc",34
"263",34970,"Languedoc",34
"264",34270,"Languedoc",34
"265",34700,"Languedoc",34
"266",34490,"Languedoc",34
"267",34210,"Languedoc",34
"268",34370,"Languedoc",34
"269",34320,"Languedoc",34
"270",34130,"Languedoc",34
"271",34280,"Languedoc",34
"272",34390,"Languedoc",34
"273",34310,"Languedoc",34
"274",34080,"Languedoc",34
"275",34090,"Languedoc",34
"276",34320,"Languedoc",34
"277",34120,"Languedoc",34
"278",34440,"Languedoc",34
"279",34800,"Languedoc",34
"280",34230,"Languedoc",34
"281",34120,"Languedoc",34
"282",34230,"Languedoc",34
"283",34700,"Languedoc",34
"284",34480,"Languedoc",34
"285",34220,"Languedoc",34
"286",34650,"Languedoc",34
"287",34320,"Languedoc",34
"288",34190,"Languedoc",34
"289",34725,"Languedoc",34
"290",34230,"Languedoc",34
"291",34360,"Languedoc",34
"292",34260,"Languedoc",34
"293",34610,"Languedoc",34
"294",34480,"Languedoc",34
"295",34390,"Languedoc",34
"296",34400,"Languedoc",34
"297",34570,"Languedoc",34
"298",34520,"Languedoc",34
"299",34400,"Languedoc",34
"300",34400,"Languedoc",34
"301",71460,"Bourgogne",71
"302",71800,"Bourgogne",71
"303",71260,"Bourgogne",71
"304",71390,"Bourgogne",71
"305",71490,"Bourgogne",71
"306",71440,"Bourgogne",71
"307",71190,"Bourgogne",71
"308",71130,"Bourgogne",71
"309",71700,"Bourgogne",71
"310",71620,"Bourgogne",71
"311",71390,"Bourgogne",71
"312",71680,"Bourgogne",71
"313",72650,"Pays_de_la_Loire",72
"314",72610,"Pays_de_la_Loire",72
"315",72170,"Pays_de_la_Loire",72
"316",72260,"Pays_de_la_Loire",72
"317",72350,"Pays_de_la_Loire",72
"318",72200,"Pays_de_la_Loire",72
"319",72340,"Pays_de_la_Loire",72
"320",72500,"Pays_de_la_Loire",72
"321",72370,"Pays_de_la_Loire",72
"322",72610,"Pays_de_la_Loire",72
"323",72500,"Pays_de_la_Loire",72
"324",72510,"Pays_de_la_Loire",72
"325",72610,"Pays_de_la_Loire",72
"326",72350,"Pays_de_la_Loire",72
"327",72600,"Pays_de_la_Loire",72
"328",72270,"Pays_de_la_Loire",72
"329",72150,"Pays_de_la_Loire",72
"330",72540,"Pays_de_la_Loire",72
"331",72240,"Pays_de_la_Loire",72
"332",72260,"Pays_de_la_Loire",72
"333",72400,"Pays_de_la_Loire",72
"334",72600,"Pays_de_la_Loire",72
"335",72600,"Pays_de_la_Loire",72
"336",72500,"Pays_de_la_Loire",72
"337",72220,"Pays_de_la_Loire",72
"338",72380,"Pays_de_la_Loire",72
"339",72320,"Pays_de_la_Loire",72
"340",72140,"Pays_de_la_Loire",72
"341",72400,"Pays_de_la_Loire",72
"342",72170,"Pays_de_la_Loire",72
"343",72320,"Pays_de_la_Loire",72
"344",72800,"Pays_de_la_Loire",72
"345",72140,"Pays_de_la_Loire",72
"346",72400,"Pays_de_la_Loire",72
"347",72290,"Pays_de_la_Loire",72
"348",73400,"Rhone_Alpes",73
"349",73110,"Rhone_Alpes",73
"350",73590,"Rhone_Alpes",73
"351",73470,"Rhone_Alpes",73
"352",73620,"Rhone_Alpes",73
"353",73630,"Rhone_Alpes",73
"354",73480,"Rhone_Alpes",73
"355",73210,"Rhone_Alpes",73
"356",73210,"Rhone_Alpes",73
"357",73210,"Rhone_Alpes",73
"358",73470,"Rhone_Alpes",73
"359",73310,"Rhone_Alpes",73
"360",73260,"Rhone_Alpes",73
"361",73300,"Rhone_Alpes",73
"362",73110,"Rhone_Alpes",73
"363",73460,"Rhone_Alpes",73
"364",73260,"Rhone_Alpes",73
"365",73250,"Rhone_Alpes",73
"366",73220,"Rhone_Alpes",73
"367",73360,"Rhone_Alpes",73
"368",73100,"Rhone_Alpes",73
"369",73450,"Rhone_Alpes",73
"370",73500,"Rhone_Alpes",73
"371",73170,"Rhone_Alpes",73
"372",72430,"Pays_de_la_Loire",72
"373",72110,"Pays_de_la_Loire",72
"374",72380,"Pays_de_la_Loire",72
"375",72380,"Pays_de_la_Loire",72
"376",72380,"Pays_de_la_Loire",72
"377",72320,"Pays_de_la_Loire",72
"378",72400,"Pays_de_la_Loire",72
"379",72500,"Pays_de_la_Loire",72
"380",72300,"Pays_de_la_Loire",72
"381",72260,"Pays_de_la_Loire",72
"382",72610,"Pays_de_la_Loire",72
"383",72650,"Pays_de_la_Loire",72
"384",72440,"Pays_de_la_Loire",72
"385",72170,"Pays_de_la_Loire",72
"386",72320,"Pays_de_la_Loire",72
"387",72150,"Pays_de_la_Loire",72
"388",72300,"Pays_de_la_Loire",72
"389",72350,"Pays_de_la_Loire",72
"390",72440,"Pays_de_la_Loire",72
"391",73210,"Rhone_Alpes",73
"392",73220,"Rhone_Alpes",73
"393",73410,"Rhone_Alpes",73
"394",73200,"Rhone_Alpes",73
"395",73500,"Rhone_Alpes",73
"396",73500,"Rhone_Alpes",73
"397",73170,"Rhone_Alpes",73
"398",73360,"Rhone_Alpes",73
"399",73270,"Rhone_Alpes",73
"400",73330,"Rhone_Alpes",73
"401",2190,"Picardie",2
"402",2800,"Picardie",2
"403",2240,"Picardie",2
"404",2300,"Picardie",2
"405",2210,"Picardie",2
"406",2310,"Picardie",2
"407",2240,"Picardie",2
"408",2360,"Picardie",2
"409",2620,"Picardie",2
"410",2420,"Picardie",2
"411",2240,"Picardie",2
"412",2320,"Picardie",2
"413",2340,"Picardie",2
"414",2310,"Picardie",2
"415",2400,"Picardie",2
"416",2190,"Picardie",2
"417",2510,"Picardie",2
"418",2850,"Picardie",2
"419",2420,"Picardie",2
"420",2600,"Picardie",2
"421",2210,"Picardie",2
"422",2450,"Picardie",2
"423",2140,"Picardie",2
"424",2600,"Picardie",2
"425",2160,"Picardie",2
"426",2500,"Picardie",2
"427",2250,"Picardie",2
"428",2720,"Picardie",2
"429",2000,"Picardie",2
"430",1500,"Rhone_Alpes",1
"431",1500,"Rhone_Alpes",1
"432",1350,"Rhone_Alpes",1
"433",1100,"Rhone_Alpes",1
"434",1190,"Rhone_Alpes",1
"435",1380,"Rhone_Alpes",1
"436",1360,"Rhone_Alpes",1
"437",1990,"Rhone_Alpes",1
"438",1360,"Rhone_Alpes",1
"439",1340,"Rhone_Alpes",1
"440",1290,"Rhone_Alpes",1
"441",1700,"Rhone_Alpes",1
"442",1200,"Rhone_Alpes",1
"443",1120,"Rhone_Alpes",1
"444",1110,"Rhone_Alpes",1
"445",1470,"Rhone_Alpes",1
"446",1240,"Rhone_Alpes",1
"447",1260,"Rhone_Alpes",1
"448",1500,"Rhone_Alpes",1
"449",1190,"Rhone_Alpes",1
"450",1390,"Rhone_Alpes",1
"451",1230,"Rhone_Alpes",1
"452",1420,"Rhone_Alpes",1
"453",1560,"Rhone_Alpes",1
"454",1290,"Rhone_Alpes",1
"455",1170,"Rhone_Alpes",1
"456",1300,"Rhone_Alpes",1
"457",1270,"Rhone_Alpes",1
"458",1800,"Rhone_Alpes",1
"459",1550,"Rhone_Alpes",1
"460",1090,"Rhone_Alpes",1
"461",1480,"Rhone_Alpes",1
"462",1460,"Rhone_Alpes",1
"463",1130,"Rhone_Alpes",1
"464",1250,"Rhone_Alpes",1
"465",1260,"Rhone_Alpes",1
"466",1430,"Rhone_Alpes",1
"467",1560,"Rhone_Alpes",1
"468",1420,"Rhone_Alpes",1
"469",1260,"Rhone_Alpes",1
"470",1360,"Rhone_Alpes",1
"471",1300,"Rhone_Alpes",1
"472",1851,"Rhone_Alpes",1
"473",1240,"Rhone_Alpes",1
"474",1660,"Rhone_Alpes",1
"475",1250,"Rhone_Alpes",1
"476",1800,"Rhone_Alpes",1
"477",1390,"Rhone_Alpes",1
"478",1090,"Rhone_Alpes",1
"479",1310,"Rhone_Alpes",1
"480",1160,"Rhone_Alpes",1
"481",1100,"Rhone_Alpes",1
"482",1100,"Rhone_Alpes",1
"483",1300,"Rhone_Alpes",1
"484",1540,"Rhone_Alpes",1
"485",1120,"Rhone_Alpes",1
"486",1330,"Rhone_Alpes",1
"487",1280,"Rhone_Alpes",1
"488",1280,"Rhone_Alpes",1
"489",1250,"Rhone_Alpes",1
"490",1600,"Rhone_Alpes",1
"491",1800,"Rhone_Alpes",1
"492",1380,"Rhone_Alpes",1
"493",1000,"Rhone_Alpes",1
"494",1600,"Rhone_Alpes",1
"495",1140,"Rhone_Alpes",1
"496",1370,"Rhone_Alpes",1
"497",1140,"Rhone_Alpes",1
"498",1630,"Rhone_Alpes",1
"499",1130,"Rhone_Alpes",1
"500",1560,"Rhone_Alpes",1
"501",80540,"Picardie",80
"502",80300,"Picardie",80
"503",80132,"Picardie",80
"504",80400,"Picardie",80
"505",80600,"Picardie",80
"506",80260,"Picardie",80
"507",80310,"Picardie",80
"508",80160,"Picardie",80
"509",80740,"Picardie",80
"510",80170,"Picardie",80
"511",80260,"Picardie",80
"512",80560,"Picardie",80
"513",80470,"Picardie",80
"514",80230,"Picardie",80
"515",80310,"Picardie",80
"516",80540,"Picardie",80
"517",80400,"Picardie",80
"518",80300,"Picardie",80
"519",80240,"Picardie",80
"520",80340,"Picardie",80
"521",80240,"Picardie",80
"522",80200,"Picardie",80
"523",62760,"Nord_pas_de_Calais",62
"524",80560,"Picardie",80
"525",80560,"Picardie",80
"526",80690,"Picardie",80
"527",80120,"Picardie",80
"528",80150,"Picardie",80
"529",80500,"Picardie",80
"530",80270,"Picardie",80
"531",80140,"Picardie",80
"532",80135,"Picardie",80
"533",80520,"Picardie",80
"534",77750,"Ile_de_France",77
"535",77510,"Ile_de_France",77
"536",77760,"Ile_de_France",77
"537",77600,"Ile_de_France",77
"538",77515,"Ile_de_France",77
"539",77520,"Ile_de_France",77
"540",77230,"Ile_de_France",77
"541",77710,"Ile_de_France",77
"542",77730,"Ile_de_France",77
"543",77400,"Ile_de_France",77
"544",77950,"Ile_de_France",77
"545",77320,"Ile_de_France",77
"546",77950,"Ile_de_France",77
"547",77160,"Ile_de_France",77
"548",77690,"Ile_de_France",77
"549",77000,"Ile_de_France",77
"550",77650,"Ile_de_France",77
"551",77139,"Ile_de_France",77
"552",77520,"Ile_de_France",77
"553",77730,"Ile_de_France",77
"554",77130,"Ile_de_France",77
"555",77114,"Ile_de_France",77
"556",77115,"Ile_de_France",77
"557",77171,"Ile_de_France",77
"558",77810,"Ile_de_France",77
"559",77400,"Ile_de_France",77
"560",77240,"Ile_de_France",77
"561",77710,"Ile_de_France",77
"562",80800,"Picardie",80
"563",80170,"Picardie",80
"564",80340,"Picardie",80
"565",80490,"Picardie",80
"566",80260,"Picardie",80
"567",80560,"Picardie",80
"568",80800,"Picardie",80
"569",80110,"Picardie",80
"570",80200,"Picardie",80
"571",80370,"Picardie",80
"572",80400,"Picardie",80
"573",80470,"Picardie",80
"574",80240,"Picardie",80
"575",80700,"Picardie",80
"576",80340,"Picardie",80
"577",80570,"Picardie",80
"578",80740,"Picardie",80
"579",80190,"Picardie",80
"580",80360,"Picardie",80
"581",80690,"Picardie",80
"582",80200,"Picardie",80
"583",80190,"Picardie",80
"584",80500,"Picardie",80
"585",80190,"Picardie",80
"586",80540,"Picardie",80
"587",80140,"Picardie",80
"588",80290,"Picardie",80
"589",81500,"Midi_Pyrenees",81
"590",81430,"Midi_Pyrenees",81
"591",81260,"Midi_Pyrenees",81
"592",81400,"Midi_Pyrenees",81
"593",81260,"Midi_Pyrenees",81
"594",81580,"Midi_Pyrenees",81
"595",81540,"Midi_Pyrenees",81
"596",81140,"Midi_Pyrenees",81
"597",81570,"Midi_Pyrenees",81
"598",81140,"Midi_Pyrenees",81
"599",81350,"Midi_Pyrenees",81
"600",81250,"Midi_Pyrenees",81
"601",2400,"Picardie",2
"602",2160,"Picardie",2
"603",2350,"Picardie",2
"604",2220,"Picardie",2
"605",2360,"Picardie",2
"606",2360,"Picardie",2
"607",2310,"Picardie",2
"608",2500,"Picardie",2
"609",2100,"Picardie",2
"610",2800,"Picardie",2
"611",2120,"Picardie",2
"612",2130,"Picardie",2
"613",2380,"Picardie",2
"614",2210,"Picardie",2
"615",2490,"Picardie",2
"616",2190,"Picardie",2
"617",2190,"Picardie",2
"618",2400,"Picardie",2
"619",2220,"Picardie",2
"620",2490,"Picardie",2
"621",2300,"Picardie",2
"622",2880,"Picardie",2
"623",2470,"Picardie",2
"624",2500,"Picardie",2
"625",2290,"Picardie",2
"626",2000,"Picardie",2
"627",2170,"Picardie",2
"628",2160,"Picardie",2
"629",2590,"Picardie",2
"630",2200,"Picardie",2
"631",2120,"Picardie",2
"632",2500,"Picardie",2
"633",2870,"Picardie",2
"634",2300,"Picardie",2
"635",2400,"Picardie",2
"636",2250,"Picardie",2
"637",2450,"Picardie",2
"638",2320,"Picardie",2
"639",2210,"Picardie",2
"640",2130,"Picardie",2
"641",2220,"Picardie",2
"642",2350,"Picardie",2
"643",2260,"Picardie",2
"644",2220,"Picardie",2
"645",2270,"Picardie",2
"646",2880,"Picardie",2
"647",2860,"Picardie",2
"648",2250,"Picardie",2
"649",2400,"Picardie",2
"650",2880,"Picardie",2
"651",2260,"Picardie",2
"652",2860,"Picardie",2
"653",2120,"Picardie",2
"654",2820,"Picardie",2
"655",2350,"Picardie",2
"656",2120,"Picardie",2
"657",2500,"Picardie",2
"658",2220,"Picardie",2
"659",2110,"Picardie",2
"660",2120,"Picardie",2
"661",2300,"Picardie",2
"662",2300,"Picardie",2
"663",2420,"Picardie",2
"664",2480,"Picardie",2
"665",2590,"Picardie",2
"666",2140,"Picardie",2
"667",2000,"Picardie",2
"668",2420,"Picardie",2
"669",2170,"Picardie",2
"670",2860,"Picardie",2
"671",2160,"Picardie",2
"672",2600,"Picardie",2
"673",2120,"Picardie",2
"674",2190,"Picardie",2
"675",2120,"Picardie",2
"676",2810,"Picardie",2
"677",2200,"Picardie",2
"678",2390,"Picardie",2
"679",2210,"Picardie",2
"680",2860,"Picardie",2
"681",2330,"Picardie",2
"682",2310,"Picardie",2
"683",2400,"Picardie",2
"684",2360,"Picardie",2
"685",2300,"Picardie",2
"686",2130,"Picardie",2
"687",2130,"Picardie",2
"688",2200,"Picardie",2
"689",2270,"Picardie",2
"690",2400,"Picardie",2
"691",2400,"Picardie",2
"692",2400,"Picardie",2
"693",2600,"Picardie",2
"694",2140,"Picardie",2
"695",2650,"Picardie",2
"696",2140,"Picardie",2
"697",27480,"Normandie",27
"698",27290,"Normandie",27
"699",27930,"Normandie",27
"700",27520,"Normandie",27
"701",34520,"Languedoc",34
"702",34120,"Languedoc",34
"703",34270,"Languedoc",34
"704",34230,"Languedoc",34
"705",34270,"Languedoc",34
"706",34130,"Languedoc",34
"707",34350,"Languedoc",34
"708",34400,"Languedoc",34
"709",34220,"Languedoc",34
"710",34110,"Languedoc",34
"711",34600,"Languedoc",34
"712",34750,"Languedoc",34
"713",34380,"Languedoc",34
"714",34280,"Languedoc",34
"715",35120,"Bretagne",35
"716",35150,"Bretagne",35
"717",35890,"Bretagne",35
"718",35330,"Bretagne",35
"719",35150,"Bretagne",35
"720",35190,"Bretagne",35
"721",35630,"Bretagne",35
"722",35360,"Bretagne",35
"723",35220,"Bretagne",35
"724",35220,"Bretagne",35
"725",35590,"Bretagne",35
"726",35150,"Bretagne",35
"727",35120,"Bretagne",35
"728",35210,"Bretagne",35
"729",35640,"Bretagne",35
"730",35340,"Bretagne",35
"731",35370,"Bretagne",35
"732",35300,"Bretagne",35
"733",35850,"Bretagne",35
"734",35580,"Bretagne",35
"735",35440,"Bretagne",35
"736",35630,"Bretagne",35
"737",35750,"Bretagne",35
"738",35133,"Bretagne",35
"739",35360,"Bretagne",35
"740",35580,"Bretagne",35
"741",35640,"Bretagne",35
"742",35330,"Bretagne",35
"743",35360,"Bretagne",35
"744",35420,"Bretagne",35
"745",35330,"Bretagne",35
"746",35210,"Bretagne",35
"747",35420,"Bretagne",35
"748",35310,"Bretagne",35
"749",35380,"Bretagne",35
"750",35380,"Bretagne",35
"751",35720,"Bretagne",35
"752",35730,"Bretagne",35
"753",35600,"Bretagne",35
"754",35560,"Bretagne",35
"755",35133,"Bretagne",35
"756",35610,"Bretagne",35
"757",35230,"Bretagne",35
"758",35250,"Bretagne",35
"759",35114,"Bretagne",35
"760",35133,"Bretagne",35
"761",35760,"Bretagne",35
"762",35140,"Bretagne",35
"763",35136,"Bretagne",35
"764",35400,"Bretagne",35
"765",37230,"Centre",37
"766",37530,"Centre",37
"767",37260,"Centre",37
"768",37800,"Centre",37
"769",37310,"Centre",37
"770",37520,"Centre",37
"771",37500,"Centre",37
"772",37210,"Centre",37
"773",37550,"Centre",37
"774",37500,"Centre",37
"775",37540,"Centre",37
"776",37270,"Centre",37
"777",37390,"Centre",37
"778",37420,"Centre",37
"779",37220,"Centre",37
"780",37500,"Centre",37
"781",37530,"Centre",37
"782",37220,"Centre",37
"783",37320,"Centre",37
"784",37190,"Centre",37
"785",37600,"Centre",37
"786",37120,"Centre",37
"787",37600,"Centre",37
"788",37510,"Centre",37
"789",38470,"Rhone_Alpes",38
"790",38280,"Rhone_Alpes",38
"791",38510,"Rhone_Alpes",38
